home_parkrun,home_event,prev_event_no,prev_date,next_event_no,next_date,cancellation_date,runner_id,gap_week_parkrun,gap_week_short
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,2724902,Sale Water,salewater
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,273224,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,274939,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,278393,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,2822497,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,288898,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,301833,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,305135,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,3547383,Woodbank,woodbank
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,3695300,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,3729682,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,3744189,Woodbank,woodbank
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,392484,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,410645,Ormskirk,ormskirk
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,4145879,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,42465,Conwy,conwy
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,4260292,Nant y Pandy,nantypandy
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,4260338,Nant y Pandy,nantypandy
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,4396236,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,443565,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,453626,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,464400,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,4787498,Alvaston,alvaston
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,492715,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,50058,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,5062549,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,525649,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,539418,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,552820,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,5556583,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,5556632,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,5937314,Halifax,halifax
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,6015327,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,6431885,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,6671253,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,6682281,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,6721540,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7164615,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7410269,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7492183,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7492312,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7529763,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7545567,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,756357,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7653575,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7710209,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7745480,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7748163,Did not run,NA
